name,email,phone
Romualdas Narušis,olivijaposka@example.org,+370 45573976
Adomas Petrauskas,akavaliauskas@example.com,+37070456424
Kornelija Kaupas,kipras00@example.com,+37036151265
"Vsiliauskas, Titas",apetrauskas@example.net,+370 37096307
"Gintalas, Jorūnė",egidijus84@example.org,+37040279810
Dovilė Ginzburgas,kornelija46@example.net,+370 85858122
Tadas Kairys,simonaszukauskas@example.com,+(370) 28035388
Martynas Paulauskas,gailystomas@example.com,+37043070109
Milana Gaičiūnas,ievagintalas@example.net,+37014189161
Leila Ginzburgas,kalvaitismatas@example.com,+370 89563589
Amelija Vsiliauskas,naujokasmarkas@example.net,+370 44434936
"Jankauskas, Smiltė",rojus06@example.org,+37045309271
Žygimantas Paulauskas,tautvydas44@example.org,+(370) 36223808
"Nausėda, Aleksandras",rojus21@example.com,+(370) 86332345
Kristina Stankevičius,pkavaliauskas@example.net,+370 04593868
Rolandas Stankevičius,kairysnerijus@example.net,+37076384557
"Kazlauskas, Juozas",kaupasaistis@example.org,+(370) 98921540
Vytautas Pocius,zpovilonis@example.org,+370 67456632
Ramūnas Gronskis,rokaskavaliauskas@example.net,+370 23545374
"Galdikas, Brigita",arturasnauseda@example.com,+(370) 99323462
Vėjūnė Urbonas,gagysaistis@example.org,+(370) 79753789
"Povilonis, Audrius",bpocius@example.com,+370 06267314
Armandas Vsiliauskas,wgaiciunas@example.net,+37029764560
Diana Urbonas,vakare79@example.org,+(370) 90897967
Justas Vsiliauskas,sakalauskasdominyka@example.net,+370 22247705
Aistis Kazlauskas,olivijagailys@example.net,+(370) 65798898
Martynas Grinius,antanaspovilonis@example.net,+370 65877108
Gytė Vsiliauskas,smilte66@example.com,+370 44173142
Elena Gaičiūnas,orestasposka@example.net,+37039563635
"Urbonas, Marija",sgronskis@example.net,+37083413664
"Povilonis, Erikas",tbutkus@example.net,+37056915948
"Gaižauskas, Mantas",emilisgaldikas@example.com,+(370) 59223445
"Ginzburgas, Justas",pociusindre@example.com,+370 29653326
"Naujokas, Vakarė",spetrauskas@example.org,+37034687245
"Gaižauskas, Amelija",ramunaskazlauskas@example.net,+370 11845252
"Butkus, Algirdas",egagys@example.org,+370 43401029
"Kazlauskas, Jolanta",petrauskassimonas@example.com,+370 88000180
"Kalvaitis, Dovydas",kaupaspovilas@example.org,+(370) 31772384
"Pocius, Medėja",smilte85@example.org,+37030202527
Rita Gronskis,kornelija46@example.org,+370 32124352
"Kalvėnas, Aurėja",kristupas57@example.com,+37049032662
"Galdikas, Reda",kalvaitisvaidas@example.com,+(370) 67318397
"Jankauskas, Kajus",tautvydaspaulauskas@example.org,+(370) 42611598
"Gronskis, Audrius",mariusgintalas@example.org,+370 23775371
Arnoldas Kazlauskas,vilius28@example.org,+(370) 42349183
Romualdas Gailius,erikagaizauskas@example.com,+370 22146076
Svetlana Ginzburgas,eglekalvelis@example.org,+370 91495711
Laurita Gronskis,pijus33@example.org,+37086601596
Evelina Žukauskas,vaidas21@example.org,+(370) 98248323
Evaldas Kairys,izukauskas@example.net,+37087509571
